FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140101;0000;5,45453;;;
150101;0000;5,01891;;;
160101;0000;5,44786;;;
170101;0000;5,44004;;;
180101;0000;4,24225;;;
190101;0000;4,60393;;;
200101;0000;4,64146;;;
210101;0000;4,31105;;;
220101;0000;4,01389;;;
230101;0000;3,83791;;;
240101;0000;4,43373;;;
250101;0000;;4,2623;;
