FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
180101;0000;34,0916;;;
190101;0000;23,1647;;;
200101;0000;23,0331;;;
210101;0000;23,2417;;;
220101;0000;24,4404;;;
230101;0000;18,8162;;;
240101;0000;20,5639;;;
250101;0000;;21,586;;
