FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140101;0000;15,1743;;;
150101;0000;13,3505;;;
160101;0000;11,3229;;;
170101;0000;11,8673;;;
180101;0000;12,4847;;;
190101;0000;11,1881;;;
200101;0000;11,8139;;;
210101;0000;11,4318;;;
220101;0000;11,6272;;;
230101;0000;10,5964;;;
240101;0000;9,88122;;;
250101;0000;11,2448;;;
